Country,2018,2015,2012,2009,2006,2003,2000
Albania,437.0,413,394.0,377.0,,,381.0
Algeria,,360,,,,,
Argentina,379.0,409,,,,,388.0
Australia,491.0,494,504.0,514.0,520.0,524.0,533.0
Austria,499.0,497,506.0,496.0,505.0,506.0,503.0
China,591.0,531,,,,,
Belgium,508.0,507,515.0,515.0,520.0,529.0,520.0
Brazil,384.0,377,389.0,386.0,370.0,356.0,334.0
Bulgaria,436.0,441,439.0,428.0,413.0,,430.0
Argentina CABA,,456,418.0,,,,
Canada,512.0,516,518.0,527.0,527.0,532.0,533.0
Chile,417.0,423,423.0,421.0,411.0,,384.0
Taiwan,531.0,542,560.0,543.0,549.0,,
Colombia,391.0,390,376.0,381.0,370.0,,
Costa Rica,402.0,400,407.0,,,,
Croatia,464.0,464,471.0,460.0,467.0,,
Cyprus,451.0,437,,,,,
Czech Republic,499.0,492,499.0,493.0,510.0,516.0,498.0
Denmark,509.0,511,500.0,503.0,513.0,514.0,514.0
Dominican Republic,325.0,328,,,,,
Estonia,523.0,520,521.0,512.0,515.0,,
Finland,507.0,511,519.0,541.0,548.0,544.0,536.0
France,495.0,493,495.0,497.0,496.0,511.0,517.0
Macedonia,,371,,,,,381.0
Georgia,398.0,404,,,,,
Germany,500.0,506,514.0,513.0,504.0,503.0,490.0
Greece,451.0,454,453.0,466.0,459.0,445.0,447.0
Hong Kong,551.0,548,561.0,555.0,547.0,550.0,560.0
Hungary,481.0,477,477.0,490.0,491.0,490.0,488.0
Iceland,495.0,488,493.0,507.0,506.0,515.0,514.0
Indonesia,379.0,386,375.0,371.0,391.0,360.0,367.0
Ireland,500.0,504,501.0,487.0,501.0,503.0,503.0
Israel,463.0,470,466.0,447.0,442.0,,433.0
Italy,487.0,490,485.0,483.0,462.0,466.0,457.0
Japan,527.0,532,536.0,529.0,523.0,534.0,557.0
Jordan,400.0,380,386.0,387.0,384.0,,
Kazakhstan,423.0,460,432.0,405.0,,,
South Korea,526.0,524,554.0,546.0,547.0,542.0,547.0
Kosovo,366.0,362,,,,,
Latvia,496.0,482,491.0,482.0,486.0,483.0,463.0
Lebanon,393.0,396,,,,,
Lithuania,481.0,478,479.0,477.0,486.0,,
Luxembourg,483.0,486,490.0,489.0,490.0,493.0,446.0
Macau,558.0,544,538.0,525.0,525.0,527.0,
Malaysia,440.0,446,421.0,,,,
Malta,472.0,479,,,,,
Mexico,409.0,408,413.0,419.0,406.0,385.0,387.0
Moldova,421.0,420,,,,,
Montenegro,430.0,418,410.0,403.0,399.0,,
Netherlands,519.0,512,523.0,526.0,531.0,538.0,
New Zealand,494.0,495,500.0,519.0,522.0,523.0,537.0
Norway,501.0,502,489.0,498.0,490.0,495.0,499.0
Peru,400.0,387,368.0,365.0,,,292.0
Poland,516.0,504,518.0,495.0,495.0,490.0,470.0
Portugal,492.0,492,487.0,487.0,466.0,466.0,454.0
Qatar,414.0,402,376.0,368.0,318.0,,
Romania,430.0,444,445.0,427.0,415.0,,426.0
Russia,488.0,494,482.0,468.0,476.0,468.0,478.0
Singapore,569.0,564,573.0,562.0,,,
Slovakia,486.0,475,482.0,497.0,492.0,498.0,
Slovenia,509.0,510,501.0,501.0,504.0,,
Spain,481.0,486,484.0,483.0,480.0,485.0,476.0
Sweden,502.0,494,478.0,494.0,502.0,509.0,510.0
Switzerland,515.0,521,531.0,534.0,530.0,527.0,529.0
Thailand,419.0,415,427.0,419.0,417.0,417.0,432.0
Trinidad and Tobago,,417,,414.0,,,
Tunisia,,367,388.0,371.0,365.0,359.0,
Turkey,454.0,420,448.0,445.0,424.0,423.0,
United Arab Emirates,435.0,427,434.0,,,,
United Kingdom,502.0,492,494.0,492.0,495.0,508.0,529.0
United States,478.0,470,481.0,487.0,474.0,483.0,493.0
Uruguay,418.0,418,409.0,427.0,427.0,422.0,
Vietnam,496.0,495,511.0,,,,
